alamat,rata_rata_umur,total_kontak,total_dirujuk,laki-laki,perempuan,kontak_serumah,batuk,sesak_nafas,keringat_malam,demam_meriang,diabetes_mellitus,lansia,ibu_hamil,perokok,berobat_tidak_tuntas,jumlah_fasyankes_unik,latitude,longitude
"Bajeng Barat, Kabupaten Gowa",34.65691699604743,1265,113,625,640,215,113,75,9,3,1,166,0,9,0,1,-5.2902067,119.390549
"Bajeng, Kabupaten Gowa",31.28321548195013,2687,212,1321,1366,431,217,82,26,5,4,220,3,189,2,2,-5.2928247,119.4374637
"Biringkanaya, Kota Makassar",29.07769423558897,399,8,202,197,81,9,0,0,0,0,13,0,22,0,1,-5.1134517,119.5137952
"Bontoala, Kota Makassar",34.99726962457338,1465,7,708,757,277,6,5,5,5,1,125,0,104,0,2,-5.130839,119.4208345
"Bontomarannu, Kabupaten Gowa",33.484848484848484,66,3,30,36,8,3,1,3,3,0,9,0,14,0,1,-5.2324906,119.5096652
"Bontonompo Selatan, Kabupaten Gowa",31.85743519781719,1466,17,745,721,152,19,10,2,7,3,154,2,188,2,1,-5.3983947,119.3890994
"Bontonompo, Kabupaten Gowa",34.110619469026545,1582,144,767,815,320,144,111,18,18,6,193,2,73,0,1,-5.3455219,119.4454793
"Makassar, Kota Makassar",32.44150027990297,5359,154,2699,2660,889,209,39,97,138,9,347,2,442,2,3,-5.1615828,119.4359281
"Mamajang, Kota Makassar",36.83084832904884,1945,25,866,1079,193,28,2,2,4,2,219,1,254,1,1,-5.1643461,119.4193834
"Manggala, Kota Makassar",32.84942656307806,2703,100,1340,1363,502,101,34,54,50,3,198,1,74,1,3,-5.1670953,119.4791098
"Manuju, Kabupaten Gowa",30.14070351758794,199,1,100,99,27,9,7,0,2,0,13,0,53,0,1,-5.2858206,119.6126125
"Pallangga, Kabupaten Gowa",31.64606361380555,4433,282,2165,2268,762,285,123,45,61,65,416,17,437,5,2,-5.2635169,119.4863316
"Panakkukang, Kota Makassar",33.817460317460316,1008,36,474,534,188,34,32,12,10,13,74,5,147,0,3,-5.1608223,119.449434
"Parangloe, Kabupaten Gowa",26.65714285714286,35,0,18,17,4,0,0,0,0,0,4,0,4,0,1,-5.2441692,119.6509478
"Parigi, Kabupaten Gowa",38.77622377622377,143,9,66,77,20,9,1,0,0,0,26,0,6,0,1,-5.3059908,119.8064051
"Rappocini, Kota Makassar",34.092962962962964,2700,39,1352,1348,146,43,25,1,1,1,251,0,334,3,1,-5.1716212,119.4457009
"Somba Opu, Kabupaten Gowa",32.09855272226051,1451,61,726,725,232,86,15,16,23,8,135,3,338,2,2,-5.2092149,119.455063
"Tallo, Kota Makassar",35.249867374005305,5655,186,2883,2772,990,239,68,89,58,22,380,29,609,10,3,-5.1250455,119.4295039
"Tamalanrea, Kota Makassar",29.783132530120483,83,0,44,39,15,0,0,0,0,0,6,0,0,0,1,-5.1317461,119.4982452
"Tamalate, Kota Makassar",32.49328938073935,4247,301,2154,2093,705,339,119,30,25,38,391,5,408,4,6,-5.1851712,119.4236581
"Wajo, Kota Makassar",33.27014218009479,633,2,280,353,61,24,5,0,2,3,69,8,87,0,2,-5.1255864,119.4106768
